ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
ST-299,108,102,10,111,108,112,36
ST-300,109,35,8,96,109,113,106
ST-301,110,103,40,112,90,114,102
ST-302,10,7,12,9,110,9,2
ST-303,6,7,10,10,39,10,14
ST-305,43,41,16,42,34,13,23
ST-306,111,47,49,16,41,15,4
ST-307,2,14,24,14,2,19,107
ST-308,22,104,25,113,12,83,4
ST-309,112,105,3,98,111,115,108
ST-310,5,2,91,7,6,6,11
ST-311,113,13,15,14,11,14,16
ST-312,114,3,8,114,76,9,109
ST-313,10,7,12,9,112,9,2
ST-314,115,75,8,115,2,116,110
ST-315,15,70,93,78,113,9,68
ST-316,43,41,16,42,35,13,111
ST-317,13,106,92,113,114,107,4
ST-318,62,53,54,60,5,53,113
ST-319,118,107,8,51,2,117,16
ST-320,13,63,25,72,59,118,63
ST-321,119,10,17,42,12,13,4
ST-322,43,47,49,49,41,15,114
ST-323,120,7,12,9,5,9,2
ST-324,5,36,87,103,38,108,102
ST-325,2,14,24,14,26,19,107
ST-326,6,7,10,10,12,10,14
ST-327,2,5,6,7,36,7,12
ST-328,116,7,12,9,5,9,2
ST-329,82,38,26,12,115,78,70
ST-330,121,13,8,116,38,7,115
ST-331,122,2,42,7,31,6,11
ST-333,10,67,10,17,15,9,66
ST-334,11,10,13,32,10,13,112
ST-335,117,73,41,79,71,65,72
ST-336,10,73,41,79,71,9,72
ST-337,2,73,41,79,71,65,8
ST-338,11,40,25,16,12,16,63
ST-339,17,7,35,9,5,9,14
ST-340,17,58,3,76,66,10,12
ST-341,50,14,18,78,64,6,63
ST-342,19,70,67,75,45,7,39
ST-343,11,10,25,118,10,13,4
ST-344,5,14,18,9,6,12,116
ST-345,16,2,45,43,36,20,42
ST-346,2,2,15,14,36,20,12
ST-347,16,43,45,43,36,20,42
ST-348,2,57,15,14,15,39,12
ST-349,2,2,15,43,36,20,12
ST-350,16,2,95,117,36,39,117
ST-351,16,2,45,62,36,39,42
ST-352,16,43,45,43,15,39,42
ST-353,10,7,21,43,15,12,12
ST-354,16,43,45,43,71,39,42
ST-355,10,7,21,14,15,7,12
ST-356,48,108,96,119,116,119,118
ST-357,111,109,8,120,117,45,4
ST-358,5,110,35,122,2,19,22
ST-359,6,7,10,10,2,10,14
ST-360,63,14,6,12,5,14,12
ST-361,17,111,3,12,61,21,119
ST-362,81,5,101,12,124,130,17
ST-363,129,31,35,14,26,6,8
ST-364,25,77,12,22,18,131,24
ST-365,130,97,25,125,84,9,101
ST-366,5,2,3,7,125,6,11
ST-367,14,112,43,123,118,115,120
ST-368,111,5,6,7,5,58,12
ST-369,111,5,49,7,12,7,121
ST-370,10,113,15,124,90,2,8
ST-371,13,12,17,16,117,16,4
ST-372,46,44,46,46,119,18,34
ST-373,79,68,18,46,66,10,34
ST-375,16,2,45,43,5,39,42
ST-376,10,7,12,9,5,121,2
ST-377,2,59,23,64,38,61,122
ST-378,101,114,25,125,120,122,22
ST-379,13,63,25,62,114,123,23
ST-380,17,115,35,9,5,9,14
ST-381,124,64,40,126,8,19,123
ST-382,124,8,98,127,76,9,58
ST-383,125,63,17,62,12,58,3
ST-384,10,13,46,126,76,124,15
ST-385,111,109,8,120,121,45,4
ST-386,30,28,99,27,22,129,30
ST-387,101,4,25,128,13,126,124
ST-388,126,116,3,129,39,9,125
ST-389,127,117,40,33,122,127,126
ST-390,10,118,4,130,123,128,8
ST-391,114,14,79,131,38,42,16
ST-392,128,119,100,27,22,129,127
ST-393,131,41,102,132,113,132,128
ST-394,10,7,12,133,112,9,2
ST-395,132,30,103,134,126,133,129
ST-396,132,30,103,134,126,134,129
ST-397,133,120,104,135,24,135,130
ST-398,32,29,33,29,24,30,52
ST-399,134,121,105,136,127,136,52
ST-400,135,30,106,137,24,137,32
ST-401,132,30,103,134,126,135,138
ST-402,13,23,27,113,114,107,4
ST-403,132,30,107,134,24,135,138
ST-404,46,122,3,18,6,138,133
ST-405,2,15,21,138,130,139,12
ST-406,14,37,108,139,105,19,135
ST-407,45,14,82,9,128,6,34
ST-408,2,2,9,7,134,19,86
ST-409,138,41,109,94,39,132,3
ST-410,13,11,17,16,13,15,4
ST-411,11,10,25,42,40,13,4
ST-412,11,10,25,13,10,58,4
ST-413,15,70,93,78,113,6,68
ST-414,50,10,25,72,10,13,4
ST-415,140,105,78,93,14,10,3
ST-416,141,4,18,90,5,96,87
ST-417,141,4,18,140,5,96,87
ST-418,111,63,25,141,40,71,4
ST-419,13,11,25,72,10,23,23
ST-420,13,11,25,72,10,141,23
ST-421,142,123,110,142,137,7,139
ST-422,93,4,18,90,5,96,87
ST-423,20,4,23,14,16,19,140
ST-424,143,31,18,143,5,142,22
ST-425,127,90,111,33,122,143,95
ST-426,46,124,112,12,36,19,18
ST-427,144,2,108,12,115,19,1
ST-428,13,80,113,49,10,107,23
ST-429,10,7,12,9,5,144,2
ST-430,145,26,30,144,21,145,28
ST-431,92,125,85,128,138,9,141
ST-432,88,26,30,55,21,68,80
ST-433,30,28,31,27,22,29,30
ST-434,18,2,18,12,25,7,12
ST-435,2,2,3,124,2,2,6
ST-437,13,12,63,16,13,16,4
ST-438,2,14,15,145,5,20,22
ST-439,88,26,30,84,21,68,80
ST-440,140,105,85,93,14,10,3
ST-441,22,11,25,21,10,23,68
ST-442,17,8,3,146,97,19,14
ST-443,5,75,8,96,39,146,97
ST-444,14,112,43,123,118,147,120
ST-445,33,26,30,147,131,145,134
ST-446,15,126,101,88,8,19,18
ST-447,13,127,92,113,114,107,4
ST-448,48,128,96,119,116,119,118
ST-449,14,72,114,12,6,19,15
ST-450,83,46,25,148,33,23,63
ST-451,111,109,17,149,41,13,23
ST-452,30,28,31,150,22,29,30
ST-453,14,42,115,12,6,19,15
ST-454,30,28,31,151,22,148,30
ST-455,146,89,8,33,139,149,4
ST-457,137,2,36,152,2,7,6
ST-459,14,13,18,12,14,18,7
ST-460,5,2,3,7,6,6,19
ST-461,2,25,9,9,5,9,12
ST-462,117,14,23,127,6,7,22
ST-463,92,125,78,128,138,9,141
ST-464,10,129,18,153,8,150,22
ST-465,83,63,49,154,33,58,137
ST-466,147,13,15,123,140,7,17
ST-467,136,130,40,94,2,9,95
ST-468,33,86,30,155,135,87,134
ST-469,92,107,79,156,64,151,87
ST-470,5,2,3,7,31,6,11
ST-471,13,131,49,157,12,13,4
ST-472,88,68,30,87,21,87,80
ST-473,2,5,116,88,5,7,12
ST-474,161,147,96,178,155,12,142
ST-475,162,148,117,179,93,162,96
ST-476,163,26,30,180,141,163,134
ST-477,55,149,59,54,57,70,50
ST-478,119,11,17,42,12,13,4
ST-479,164,4,8,181,27,9,8
ST-480,136,132,80,182,85,98,91
ST-481,151,77,27,158,18,152,25
ST-482,127,133,40,159,76,74,95
ST-483,152,4,8,160,36,153,143
ST-484,153,134,118,161,142,154,103
ST-485,7,6,8,8,143,8,13
ST-486,102,135,98,162,8,9,144
ST-487,130,64,25,163,84,6,126
ST-488,13,80,119,164,12,15,145
ST-489,154,136,46,165,124,162,12
ST-490,99,137,120,116,144,19,120
ST-491,155,138,121,99,145,19,146
ST-492,13,46,25,49,146,155,4
ST-493,17,2,10,166,147,21,119
ST-494,45,77,8,167,27,9,8
ST-495,45,8,8,127,27,9,8
ST-496,71,139,25,75,36,156,147
ST-497,36,31,35,168,26,6,8
ST-498,17,115,8,169,148,157,22
ST-499,127,46,49,170,149,9,41
ST-500,127,90,40,171,150,158,148
ST-501,117,14,23,127,151,7,22
ST-502,14,14,122,172,6,7,33
ST-503,156,140,123,173,152,159,149
ST-504,157,141,17,16,33,13,4
ST-505,157,142,49,16,40,35,3
ST-506,158,143,28,174,20,50,60
ST-507,159,123,110,175,36,162,150
ST-508,48,144,26,176,153,160,96
ST-509,161,1,124,175,36,161,150
ST-510,160,145,3,177,130,7,151
ST-511,5,146,85,119,154,9,152
ST-512,13,109,49,13,12,13,4
ST-513,18,7,128,9,39,9,153
ST-514,111,109,17,16,41,13,23
ST-515,13,109,49,157,12,13,4
ST-516,84,11,16,42,40,71,4
ST-517,148,37,126,183,114,45,126
ST-518,101,41,40,184,76,90,3
ST-519,176,154,127,185,156,164,154
ST-520,111,109,17,149,41,58,23
ST-521,52,63,48,186,36,165,3
ST-522,2,7,9,9,5,7,12
ST-523,101,64,25,163,84,6,101
ST-524,84,150,16,42,40,166,4
ST-525,149,151,3,128,84,53,153
ST-526,150,152,36,103,132,167,4
ST-527,178,153,49,187,157,168,126
ST-529,169,84,8,189,158,169,156
ST-530,165,157,44,190,159,170,22
ST-531,179,160,10,122,61,8,157
ST-532,180,161,132,21,12,13,4
ST-533,14,7,3,191,6,19,12
ST-534,181,7,3,191,6,19,12
ST-535,17,2,10,166,160,171,119
