ST,aroC,dnaN,hemD,hisD,purE,sucA,thrA
ST-838,13,127,92,157,40,35,137
ST-839,13,169,8,104,41,23,4
ST-840,6,157,44,190,159,170,22
ST-841,6,7,8,10,39,10,14
ST-842,197,70,153,4,90,182,139
ST-843,156,54,68,49,39,9,14
ST-844,13,11,17,113,59,71,4
ST-845,42,46,152,239,12,197,4
ST-846,37,31,35,14,8,6,4
ST-847,106,70,152,132,34,9,168
ST-848,43,47,25,49,41,15,3
ST-849,17,7,35,9,2,9,14
ST-850,121,7,10,103,2,10,14
ST-851,111,104,17,256,226,197,65
ST-852,42,11,17,42,40,71,102
ST-853,13,169,8,104,41,13,4
ST-854,111,11,17,256,12,197,65
ST-855,61,112,8,10,134,137,4
ST-856,70,7,10,10,2,142,14
ST-857,42,36,48,239,12,13,4
ST-858,125,63,17,62,12,280,3
ST-859,84,76,38,42,12,13,4
ST-860,84,76,38,149,12,13,4
ST-861,2,15,21,138,5,19,2
ST-862,125,63,208,62,12,58,3
ST-863,48,198,209,119,219,119,118
ST-864,301,272,48,16,40,13,3
ST-865,39,142,17,346,303,58,4
ST-866,157,11,17,347,33,23,137
ST-867,302,13,15,123,140,7,269
ST-868,11,10,25,13,10,35,211
ST-869,235,25,28,24,237,26,78
ST-870,26,24,28,24,20,25,27
ST-871,145,26,30,268,141,87,28
ST-872,189,70,152,132,34,9,172
ST-873,11,10,13,264,10,13,4
ST-874,56,143,28,263,48,50,78
ST-875,33,26,30,180,141,87,134
ST-876,33,26,159,144,21,87,28
ST-877,13,208,49,141,41,19,270
ST-878,127,273,40,72,304,282,196
ST-880,86,274,211,53,18,24,236
ST-881,126,275,3,280,104,149,273
ST-882,37,276,3,348,306,283,274
ST-885,136,133,40,350,2,9,95
ST-886,117,278,96,12,115,2,22
ST-887,249,90,40,33,309,284,276
ST-889,111,4,87,352,39,9,278
ST-890,1,1,2,353,1,1,5
ST-892,305,1,2,1,1,1,5
ST-893,17,281,8,262,64,287,280
ST-894,306,281,213,262,64,287,280
ST-895,144,282,46,62,76,2,281
ST-896,307,2,24,14,2,19,8
ST-897,111,63,49,16,41,15,3
ST-898,56,24,29,83,20,50,27
ST-899,157,142,33,16,40,35,3
ST-900,15,269,93,78,113,6,68
ST-901,68,113,6,78,15,93,70
ST-902,13,109,49,354,12,13,4
ST-903,13,12,25,355,149,289,4
ST-904,308,284,45,43,90,290,22
ST-905,48,280,212,316,310,291,282
ST-906,84,161,25,356,41,23,283
ST-907,11,169,214,16,311,35,284
ST-908,11,169,38,357,311,35,82
ST-909,81,283,101,12,124,130,17
ST-910,145,26,30,26,21,288,28
ST-911,1,1,2,183,1,1,5
ST-912,10,10,18,403,90,12,12
ST-913,10,312,3,394,4,128,8
ST-914,10,4,263,443,4,128,370
ST-915,101,133,40,33,139,79,324
ST-916,101,4,25,125,76,90,101
ST-917,101,4,8,366,84,10,192
ST-918,101,64,25,125,84,19,384
ST-919,103,14,250,425,2,9,141
ST-920,103,4,15,385,8,185,2
ST-921,106,101,217,7,105,39,12
ST-922,106,289,122,7,105,39,12
ST-923,106,37,220,210,5,2,2
ST-924,11,10,13,13,10,13,355
ST-925,11,11,16,113,161,71,4
ST-926,11,169,25,42,12,9,4
ST-927,11,300,16,440,161,58,4
ST-928,110,335,135,277,374,342,354
ST-929,111,104,17,49,33,314,4
ST-930,111,107,8,49,12,105,304
ST-931,111,109,8,120,318,45,4
ST-932,111,11,279,141,40,71,186
ST-933,111,208,25,141,33,71,186
ST-934,111,224,25,16,9,222,216
ST-935,111,321,17,346,33,327,4
ST-936,114,313,79,395,38,42,16
ST-937,117,124,284,470,193,65,17
ST-938,117,14,15,38,2,19,86
ST-939,117,14,26,399,8,323,38
ST-940,117,14,26,49,8,2,38
ST-941,117,213,43,96,71,12,307
ST-942,117,295,10,100,38,9,301
ST-943,119,300,25,379,12,35,4
ST-944,124,38,98,414,365,9,58
ST-945,127,133,25,33,76,74,95
ST-946,127,14,40,33,372,339,95
ST-947,127,193,8,125,76,132,192
ST-948,127,226,8,278,122,100,219
ST-949,127,331,40,421,122,101,350
ST-950,127,375,111,402,406,45,3
ST-951,127,41,109,94,39,132,95
ST-952,127,41,133,33,84,318,126
ST-953,127,46,234,170,149,9,41
ST-954,127,81,111,33,164,101,326
ST-955,127,90,40,171,122,79,327
ST-956,127,90,40,94,401,364,219
ST-957,127,90,8,86,76,305,124
ST-958,128,119,100,27,22,129,30
ST-959,128,119,100,316,22,129,252
ST-960,128,119,100,480,22,129,30
ST-961,128,119,100,488,22,129,411
ST-962,128,119,3,316,22,129,30
ST-963,128,28,100,27,273,29,30
ST-964,13,127,48,113,41,23,4
ST-965,13,34,71,478,59,83,4
ST-966,13,351,25,16,40,355,4
ST-967,13,41,17,72,10,35,63
ST-968,13,63,25,368,59,9,3
ST-969,13,63,49,463,33,71,4
ST-970,13,80,17,113,12,15,145
ST-971,13,83,17,13,10,16,283
ST-972,13,83,25,13,40,23,4
ST-973,13,83,25,413,220,23,4
ST-974,132,121,33,137,126,245,52
ST-975,132,285,216,134,24,133,288
ST-976,133,243,34,296,126,137,130
ST-977,133,243,34,299,266,137,130
ST-978,133,243,34,301,267,137,130
ST-979,136,287,40,361,40,199,95
ST-981,136,90,40,33,122,101,41
ST-982,136,90,40,96,346,226,400
ST-983,137,2,36,152,326,298,6
ST-984,137,4,233,111,347,9,322
ST-985,138,118,289,483,2,158,196
ST-986,138,348,40,384,184,348,365
ST-987,14,126,41,12,134,7,18
ST-988,14,14,21,172,5,7,16
ST-989,14,14,23,121,38,19,335
ST-990,14,14,23,434,377,19,361
ST-991,14,15,56,64,8,2,12
ST-992,14,2,43,88,6,2,181
ST-993,14,324,21,411,5,12,8
ST-994,14,369,83,204,145,365,386
ST-995,14,4,21,88,6,6,292
ST-996,14,59,237,49,38,19,337
ST-997,140,112,46,420,369,335,22
ST-998,144,126,248,17,5,146,307
ST-999,145,229,30,282,21,229,28
ST-1000,145,229,30,295,21,229,28
ST-1001,145,26,30,282,21,353,28
ST-1002,145,26,30,282,261,87,28
ST-1003,145,26,30,334,21,87,28
ST-1004,145,26,30,337,141,272,28
ST-1005,145,26,30,426,21,145,134
ST-1006,145,26,30,55,21,87,28
ST-1007,145,266,30,282,21,274,132
ST-1008,145,286,30,360,21,87,28
ST-1009,147,15,15,400,97,221,303
ST-1010,15,14,15,121,36,14,12
ST-1011,15,175,15,12,345,10,320
ST-1012,15,20,98,423,370,336,22
ST-1013,15,372,282,128,38,19,8
ST-1014,15,4,18,330,90,266,58
ST-1015,15,70,253,78,113,6,68
ST-1016,151,176,27,22,18,24,25
ST-1017,151,368,280,214,18,363,174
ST-1018,151,77,27,22,18,67,236
ST-1019,151,77,27,22,18,85,222
ST-1020,151,77,27,22,18,85,235
ST-1021,151,77,27,332,260,85,25
ST-1022,151,77,27,406,260,326,91
ST-1023,151,77,27,486,18,152,25
ST-1024,152,14,283,468,5,9,1
ST-1025,152,349,261,236,5,9,367
ST-1026,156,70,40,8,328,75,295
ST-1027,16,16,221,18,8,12,18
ST-1028,162,337,18,33,90,9,357
ST-1029,165,157,44,190,159,331,22
ST-1030,168,14,15,17,5,90,12
ST-1031,17,221,81,272,85,84,76
ST-1032,17,341,22,17,5,21,19
ST-1033,170,366,54,115,33,58,396
ST-1034,170,366,54,115,398,58,396
ST-1035,170,366,54,115,76,58,396
ST-1036,172,346,259,33,381,169,272
ST-1037,179,193,10,383,339,298,310
ST-1038,18,13,239,12,6,198,6
ST-1039,18,13,239,12,76,198,6
ST-1040,18,2,43,12,25,7,12
ST-1041,18,329,10,418,323,7,12
ST-1042,180,26,25,42,409,71,4
ST-1043,188,112,121,14,382,183,1
ST-1044,19,129,79,96,100,109,321
ST-1045,19,347,18,438,2,347,170
ST-1046,191,22,186,22,250,24,91
ST-1047,191,370,80,284,18,366,25
ST-1048,191,77,187,22,280,260,222
ST-1049,199,107,79,235,192,193,22
ST-1050,2,13,23,127,96,224,217
ST-1051,2,13,23,127,96,6,217
ST-1052,2,13,23,274,96,224,217
ST-1053,2,134,8,401,8,9,339
ST-1054,2,15,268,138,130,139,12
ST-1055,2,316,235,397,64,9,332
ST-1056,2,354,26,110,389,9,104
ST-1057,2,4,22,88,36,22,338
ST-1058,2,59,254,64,38,19,12
ST-1059,2,8,21,364,323,297,12
ST-1060,202,73,8,36,29,368,184
ST-1061,203,83,48,13,344,23,4
ST-1062,207,339,40,430,328,344,358
ST-1063,208,222,164,271,244,19,214
ST-1064,208,4,223,116,321,296,194
ST-1065,209,70,152,49,34,9,395
ST-1066,216,11,25,21,114,223,23
ST-1067,216,305,230,347,36,9,4
ST-1068,218,290,222,66,319,19,18
ST-1069,22,104,48,231,114,107,4
ST-1070,220,221,72,475,85,293,248
ST-1071,220,240,27,22,18,85,174
ST-1072,220,257,81,326,257,261,258
ST-1073,220,77,27,324,286,181,24
ST-1074,220,82,187,258,260,24,236
ST-1075,221,22,183,305,85,250,245
ST-1076,221,265,200,338,274,273,262
ST-1077,222,117,85,123,350,9,333
ST-1078,222,213,8,123,225,321,120
ST-1079,226,218,156,54,241,219,50
ST-1080,229,176,187,214,18,227,91
ST-1081,229,176,197,22,18,239,169
ST-1082,229,176,27,214,18,85,236
ST-1083,229,176,27,341,18,85,25
ST-1084,229,77,27,22,18,24,169
ST-1085,23,14,15,12,17,20,12
ST-1086,230,38,228,416,236,216,209
ST-1087,230,38,228,479,414,216,209
ST-1088,230,38,244,407,359,216,209
ST-1089,230,38,245,408,236,216,345
ST-1090,230,38,252,427,236,341,209
ST-1091,230,38,288,476,342,216,209
ST-1092,230,381,245,476,359,216,359
ST-1093,231,14,252,427,373,340,351
ST-1094,231,306,158,363,236,216,318
ST-1095,231,38,158,363,322,215,209
ST-1096,231,38,228,388,342,216,209
ST-1097,231,38,236,398,351,216,334
ST-1098,231,38,238,363,236,216,209
ST-1099,231,38,245,431,342,216,359
ST-1100,231,38,264,363,236,216,209
ST-1101,240,220,156,270,47,48,50
ST-1102,242,129,163,281,275,84,248
ST-1103,242,129,72,475,330,99,377
ST-1104,242,211,163,92,78,378,412
ST-1105,242,211,72,81,314,293,290
ST-1106,242,221,163,272,85,233,76
ST-1107,242,221,163,81,243,211,198
ST-1108,242,221,81,272,85,246,240
ST-1109,242,221,81,81,78,232,226
ST-1110,242,228,81,281,78,228,221
ST-1111,242,231,81,81,85,233,227
ST-1112,242,263,198,335,92,270,261
ST-1113,242,295,81,369,78,302,59
ST-1114,242,333,163,92,85,84,240
ST-1115,244,223,165,251,315,221,215
ST-1116,246,77,27,167,277,181,25
ST-1117,247,225,166,276,270,225,218
ST-1118,247,225,166,320,270,251,255
ST-1119,247,225,193,276,284,251,256
ST-1120,247,225,262,442,270,251,369
ST-1121,247,246,166,304,270,248,244
ST-1122,247,253,189,317,279,259,253
ST-1123,247,254,191,319,281,251,254
ST-1124,247,267,203,306,300,276,265
ST-1125,248,46,25,277,140,58,4
ST-1126,249,111,40,279,122,226,95
ST-1127,25,176,27,22,292,67,91
ST-1128,25,176,27,22,353,181,236
ST-1129,25,22,80,289,254,235,231
ST-1130,25,232,171,285,250,231,228
ST-1131,25,236,27,291,256,237,91
ST-1132,25,236,27,444,277,351,91
ST-1133,25,250,186,310,18,254,91
ST-1134,25,250,186,310,18,256,91
ST-1135,25,260,187,329,250,264,24
ST-1136,25,298,227,377,277,91,91
ST-1137,25,379,171,305,258,91,24
ST-1138,25,77,171,367,330,299,25
ST-1139,25,77,192,321,282,24,236
ST-1140,25,77,197,22,78,269,25
ST-1141,25,77,27,214,18,227,25
ST-1142,25,77,27,22,18,24,169
ST-1143,25,77,27,22,18,371,25
ST-1144,25,77,27,22,260,241,25
ST-1145,25,77,27,22,85,249,236
ST-1146,25,77,27,332,291,24,174
ST-1147,25,77,27,462,18,85,25
ST-1148,25,77,27,465,18,85,398
ST-1149,250,227,8,280,245,46,220
ST-1150,250,311,8,20,2,8,210
ST-1151,253,22,169,284,18,231,225
ST-1152,254,230,170,175,249,9,150
ST-1153,255,233,30,287,252,68,229
ST-1154,255,233,30,331,252,267,229
ST-1155,255,26,30,282,269,87,28
ST-1156,255,270,30,345,229,279,28
ST-1157,255,364,30,331,396,68,393
ST-1158,256,198,96,290,255,236,232
ST-1159,257,237,27,292,257,238,233
ST-1160,258,238,77,293,258,239,222
ST-1161,259,239,174,294,259,240,235
ST-1162,260,245,27,68,301,67,266
ST-1163,260,77,27,22,18,204,236
ST-1164,261,78,34,24,262,243,60
ST-1165,262,24,175,174,263,26,131
ST-1166,264,121,107,134,126,135,238
ST-1167,265,30,105,297,265,136,129
ST-1168,265,30,176,134,24,136,52
ST-1169,265,30,178,134,265,136,129
ST-1170,266,242,34,298,126,135,239
ST-1171,267,244,177,300,24,135,138
ST-1172,268,245,27,302,46,247,59
ST-1173,269,149,180,54,268,219,50
ST-1174,270,26,181,303,21,87,241
ST-1175,271,77,27,22,18,239,25
ST-1176,272,22,182,291,250,24,243
ST-1177,273,232,27,22,18,249,222
ST-1178,273,77,199,23,85,249,236
ST-1179,273,77,27,22,260,249,25
ST-1180,276,247,184,306,270,251,244
ST-1181,277,249,171,291,250,235,91
ST-1182,278,251,80,22,55,255,249
ST-1183,279,22,171,311,277,24,91
ST-1184,279,363,183,289,277,237,245
ST-1185,280,252,27,53,55,184,49
ST-1186,280,252,27,68,55,47,59
ST-1187,280,353,269,449,46,184,375
ST-1188,280,385,27,53,46,67,59
ST-1189,280,77,171,313,278,257,251
ST-1190,281,22,183,291,277,24,91
ST-1191,282,143,29,82,20,50,51
ST-1192,283,221,188,315,78,258,226
ST-1193,284,367,27,335,78,362,76
ST-1194,284,77,190,318,18,181,24
ST-1195,285,26,30,144,21,87,28
ST-1196,285,26,30,282,299,87,28
ST-1197,285,26,30,55,21,87,28
ST-1198,286,82,27,22,18,85,25
ST-1199,287,256,194,323,285,83,257
ST-1200,287,256,194,323,57,83,257
ST-1201,288,176,27,327,288,24,91
ST-1202,289,26,30,212,21,28,28
ST-1203,29,26,30,344,21,278,28
ST-1204,29,286,30,84,21,145,132
ST-1205,290,259,3,328,289,263,158
ST-1206,291,261,85,33,225,265,58
ST-1207,292,77,27,291,250,85,222
ST-1208,293,264,80,257,294,271,236
ST-1209,294,28,31,151,22,29,30
ST-1210,295,251,27,339,296,255,263
ST-1211,296,26,30,212,21,27,264
ST-1212,297,26,159,144,21,87,28
ST-1213,298,268,205,342,302,277,267
ST-1214,299,269,206,343,274,273,268
ST-1215,3,3,7,4,3,3,156
ST-1216,30,28,195,325,287,29,30
ST-1217,30,28,31,151,22,69,81
ST-1218,30,28,31,27,416,376,30
ST-1219,30,28,31,27,57,29,30
ST-1220,30,28,31,333,22,268,30
ST-1221,30,28,31,473,22,29,30
ST-1222,30,358,31,454,22,129,30
ST-1223,311,287,218,168,316,294,4
ST-1224,312,288,219,275,317,295,291
ST-1225,312,288,219,450,63,356,376
ST-1226,312,288,246,410,362,328,346
ST-1227,312,288,246,456,63,328,389
ST-1228,312,288,249,424,393,358,385
ST-1229,313,13,15,123,15,19,17
ST-1230,313,14,98,121,140,19,33
ST-1231,313,20,271,251,2,359,386
ST-1232,313,3,130,196,29,207,313
ST-1233,313,314,58,396,148,162,330
ST-1234,313,64,3,396,148,2,330
ST-1235,314,140,25,391,114,6,4
ST-1236,314,291,17,72,320,58,111
ST-1237,315,293,68,365,324,9,293
ST-1238,316,90,133,96,329,53,95
ST-1239,317,77,27,22,331,152,296
ST-1240,318,77,225,335,92,246,297
ST-1241,319,75,47,12,14,9,347
ST-1242,319,80,8,107,332,300,299
ST-1243,32,241,34,296,264,244,237
ST-1244,320,28,31,27,22,29,300
ST-1245,321,296,118,371,333,18,18
ST-1246,322,297,8,373,332,304,302
ST-1247,323,178,224,374,163,9,234
ST-1248,324,31,10,375,36,12,303
ST-1249,325,10,226,376,335,6,8
ST-1250,326,71,108,381,12,19,307
ST-1251,327,301,40,382,338,307,309
ST-1252,328,160,40,384,340,45,311
ST-1253,328,4,242,405,184,58,311
ST-1254,328,63,48,186,36,35,3
ST-1255,329,304,40,367,90,311,316
ST-1256,33,173,30,26,141,275,28
ST-1257,33,26,179,55,21,87,28
ST-1258,33,26,179,55,276,87,28
ST-1259,33,26,202,212,297,87,28
ST-1260,33,26,30,144,21,145,28
ST-1261,33,26,30,144,21,87,134
ST-1262,33,26,30,144,21,87,264
ST-1263,33,26,30,144,283,229,28
ST-1264,33,26,30,144,283,87,134
ST-1265,33,26,30,180,230,27,28
ST-1266,33,26,30,180,246,87,134
ST-1267,33,26,30,26,21,87,134
ST-1268,33,26,30,26,21,87,308
ST-1269,33,26,30,282,21,32,260
ST-1270,33,26,30,340,21,32,28
ST-1271,33,26,30,484,229,87,28
ST-1272,33,26,30,55,229,87,28
ST-1273,33,26,30,84,21,92,80
ST-1274,33,271,30,22,21,279,80
ST-1275,33,271,30,340,21,279,80
ST-1276,33,352,30,84,283,87,28
ST-1277,33,378,30,213,131,87,134
ST-1278,33,378,30,55,413,87,407
ST-1279,330,11,16,104,161,71,4
ST-1280,331,230,98,387,341,19,150
ST-1281,332,14,229,389,343,312,317
ST-1282,333,307,108,14,36,2,319
ST-1283,334,308,231,72,41,58,216
ST-1284,335,176,27,22,18,85,91
ST-1285,336,4,232,130,346,128,8
ST-1286,337,310,218,159,348,315,323
ST-1287,338,178,98,349,66,324,102
ST-1288,339,117,119,402,44,320,196
ST-1289,339,117,119,402,44,75,3
ST-1290,340,38,8,403,325,12,8
ST-1291,341,11,8,404,61,161,341
ST-1292,342,24,28,83,357,26,79
ST-1293,343,2,18,190,140,300,102
ST-1294,344,320,243,252,358,20,342
ST-1295,345,322,4,196,4,128,343
ST-1296,346,4,8,125,84,19,101
ST-1297,346,97,8,163,76,19,344
ST-1298,347,325,93,412,363,132,168
ST-1299,348,34,71,49,59,83,4
ST-1300,349,327,247,415,366,329,348
ST-1301,349,327,257,415,379,345,363
ST-1302,349,327,291,415,366,377,363
ST-1303,35,133,10,128,157,53,381
ST-1304,350,196,78,72,33,330,349
ST-1305,351,46,16,441,384,349,368
ST-1306,351,63,119,104,40,332,4
ST-1307,352,169,78,417,367,333,272
ST-1308,352,330,78,419,368,334,272
ST-1309,353,288,249,424,371,337,291
ST-1310,354,14,251,21,114,338,4
ST-1311,355,169,214,42,311,35,82
ST-1312,356,334,253,362,113,9,353
ST-1313,357,118,3,428,4,128,8
ST-1314,358,46,16,432,33,13,4
ST-1315,359,340,224,433,27,153,360
ST-1316,360,177,98,78,61,9,84
ST-1317,360,346,129,437,169,346,322
ST-1318,361,327,258,415,366,345,364
ST-1319,362,345,16,436,41,9,331
ST-1320,363,25,29,83,386,26,131
ST-1321,364,25,21,263,48,178,371
ST-1322,365,350,265,446,387,352,372
ST-1323,366,35,123,447,33,354,373
ST-1324,367,112,266,448,138,146,374
ST-1325,368,233,30,287,252,68,229
ST-1326,369,75,90,451,2,357,378
ST-1327,37,318,10,399,5,12,2
ST-1328,3,3,7,4,3,3,379
ST-1329,371,194,8,9,29,8,36
ST-1330,372,355,93,452,390,197,139
ST-1331,373,356,270,9,391,19,380
ST-1332,373,48,43,467,402,7,139
ST-1333,374,288,219,453,63,328,382
ST-1334,375,4,78,163,84,19,383
ST-1335,376,288,272,424,394,295,291
ST-1336,377,360,273,455,5,153,388
ST-1337,378,286,30,55,21,87,28
ST-1338,379,350,275,457,387,352,391
ST-1339,380,288,276,458,240,360,392
ST-1340,381,350,277,459,397,352,394
ST-1341,382,286,30,460,283,87,28
ST-1342,383,365,30,212,21,353,28
ST-1343,384,221,278,315,92,361,230
ST-1344,385,221,81,81,400,246,399
ST-1345,386,4,281,466,305,97,100
ST-1346,387,371,27,465,18,367,25
ST-1347,388,104,17,42,9,116,4
ST-1348,389,225,166,482,270,374,408
ST-1349,389,373,166,320,404,251,244
ST-1350,39,116,16,254,383,45,57
ST-1351,39,117,25,392,184,35,57
ST-1352,39,142,17,346,337,58,4
ST-1353,39,153,260,72,36,165,366
ST-1354,39,165,8,439,39,53,22
ST-1355,39,302,79,386,95,308,312
ST-1356,39,326,101,33,169,9,158
ST-1357,39,338,93,429,36,343,48
ST-1358,39,35,93,247,376,9,149
ST-1359,39,376,68,72,407,63,401
ST-1360,39,63,25,254,33,58,352
ST-1361,39,64,8,125,76,90,344
ST-1362,390,225,166,320,270,251,244
ST-1363,391,374,22,469,405,9,217
ST-1364,392,154,127,471,408,369,402
ST-1365,393,377,285,472,248,370,403
ST-1366,394,26,30,360,21,87,28
ST-1367,395,301,40,474,410,307,404
ST-1368,396,117,36,33,2,372,405
ST-1369,397,380,121,99,411,39,2
ST-1370,397,380,121,99,411,9,406
ST-1371,398,86,90,20,2,173,303
ST-1372,399,77,27,22,18,373,25
ST-1373,4,4,40,96,94,53,298
ST-1374,4,75,10,96,8,188,328
ST-1375,400,78,29,481,20,50,78
ST-1376,401,383,290,485,415,375,409
ST-1377,402,384,38,16,33,35,410
ST-1378,403,22,171,289,277,24,245
ST-1379,404,22,27,289,18,237,91
ST-1380,405,176,77,258,18,85,25
ST-1381,41,299,15,46,336,306,305
ST-1382,41,311,10,220,349,188,7
ST-1383,41,323,3,243,360,9,216
ST-1384,41,332,79,62,28,14,96
ST-1385,41,336,255,12,375,12,356
ST-1386,41,36,8,20,95,108,325
ST-1387,41,64,3,370,8,7,22
ST-1388,42,14,17,41,33,36,41
ST-1389,42,169,286,16,12,23,4
ST-1390,42,63,25,113,385,350,4
ST-1391,43,357,8,215,39,7,84
ST-1392,43,41,16,85,40,58,3
ST-1393,45,12,15,372,140,303,21
ST-1394,46,201,146,9,6,19,1
ST-1395,46,210,18,88,118,317,329
ST-1396,47,71,8,464,8,19,397
ST-1397,5,112,40,78,39,316,97
ST-1398,5,13,8,196,334,9,234
ST-1399,5,14,3,422,16,19,38
ST-1400,5,2,3,7,175,6,11
ST-1401,5,359,68,49,175,9,387
ST-1402,5,362,274,401,5,123,390
ST-1403,50,11,16,16,388,19,4
ST-1404,50,208,279,141,403,71,186
ST-1405,50,7,8,121,124,12,307
ST-1406,52,18,40,409,361,58,298
ST-1407,52,315,40,16,184,320,331
ST-1408,52,46,25,378,12,83,298
ST-1409,52,90,36,279,165,301,41
ST-1410,56,24,28,83,20,26,78
ST-1411,56,24,29,24,356,26,340
ST-1412,56,25,240,307,272,252,27
ST-1413,56,25,28,24,355,26,27
ST-1414,56,25,29,83,79,252,78
ST-1415,56,343,28,24,380,86,79
ST-1416,6,14,26,399,8,9,38
ST-1417,6,2,10,196,327,153,294
ST-1418,6,317,10,44,352,321,336
ST-1419,61,294,25,194,136,45,126
ST-1420,62,309,54,393,89,9,48
ST-1421,64,252,27,68,55,67,59
ST-1422,65,248,29,308,129,50,246
ST-1423,65,248,29,487,129,50,246
ST-1424,65,25,173,288,253,26,51
ST-1425,65,25,28,445,253,26,78
ST-1426,65,25,29,312,20,50,250
ST-1427,65,25,292,24,293,26,78
ST-1428,65,78,29,24,293,26,60
ST-1429,65,78,29,286,251,234,51
ST-1430,65,78,29,336,20,50,60
ST-1431,65,78,29,69,271,50,51
ST-1432,7,107,79,235,192,193,22
ST-1433,7,14,8,8,7,8,13
ST-1434,73,35,68,16,63,75,65
ST-1435,73,35,68,275,63,75,65
ST-1436,75,14,10,390,89,313,22
ST-1437,75,14,18,110,325,7,72
ST-1438,75,14,18,110,399,2,13
ST-1439,75,14,224,110,325,2,72
ST-1440,75,303,8,14,325,309,313
ST-1441,75,303,8,14,8,309,313
ST-1442,75,361,224,172,325,7,8
ST-1443,75,38,18,17,325,221,314
ST-1444,75,38,8,110,325,310,315
ST-1445,75,73,3,461,8,196,48
ST-1446,82,319,241,127,354,325,22
ST-1447,82,319,241,127,395,325,22
ST-1448,82,382,241,127,15,325,22
ST-1449,83,11,267,72,337,58,4
ST-1450,83,294,40,21,184,319,48
ST-1451,83,83,16,13,161,322,4
ST-1452,84,127,25,197,40,13,4
ST-1453,84,140,25,85,33,35,4
ST-1454,84,292,25,362,35,168,4
ST-1455,84,323,68,412,392,123,373
ST-1456,84,342,256,435,378,182,362
ST-1457,84,344,8,132,38,9,161
ST-1458,84,76,25,197,12,13,4
ST-1459,84,83,25,13,33,322,23
ST-1460,84,83,25,85,13,193,4
ST-1461,88,255,30,55,21,87,80
ST-1462,88,26,30,212,21,87,259
ST-1463,88,26,30,322,21,353,80
ST-1464,88,26,30,322,283,145,28
ST-1465,88,26,30,55,21,87,242
ST-1466,95,22,27,22,18,85,25
ST-1467,95,245,27,359,313,184,289
ST-1468,95,77,27,380,258,24,306
ST-1469,95,82,27,305,18,85,25
ST-1470,96,221,72,92,78,233,76
ST-1471,96,221,81,92,78,99,377
ST-1472,96,234,172,81,85,232,230
ST-1473,96,234,201,281,295,99,221
ST-1474,96,258,81,92,243,262,230
ST-1475,99,117,287,477,412,321,120
ST-1476,99,137,120,116,144,2,120
ST-1477,99,175,46,11,14,180,1
ST-1478,99,328,8,17,5,9,16
ST-1479,5,2,294,7,6,6,11
ST-1480,92,187,8,262,95,6,210
ST-1481,17,2,15,124,8,2,18
ST-1482,409,4,4,62,420,128,8
ST-1483,2,8,10,17,6,19,418
ST-1484,92,86,78,490,88,97,88
ST-1485,100,92,84,97,98,380,98
ST-1486,408,92,84,97,419,104,417
ST-1487,410,2,3,6,5,5,10
ST-1488,43,31,16,42,35,13,111
ST-1489,43,31,16,13,34,13,4
ST-1490,412,204,8,247,216,6,194
ST-1491,201,204,8,247,216,6,194
ST-1492,411,41,18,13,12,13,4
ST-1493,201,41,16,42,35,13,111
ST-1494,5,2,3,491,5,5,10
ST-1495,3,36,43,38,16,32,38
ST-1496,10,61,18,67,15,12,12
ST-1498,14,13,43,17,96,19,17
ST-1499,2,59,23,64,38,19,12
ST-1501,136,90,40,94,329,101,95
ST-1502,166,386,79,216,312,53,416
ST-1504,203,133,25,215,76,74,95
ST-1505,221,26,185,309,274,253,247
ST-1506,353,389,295,492,421,295,291
ST-1507,406,183,8,216,417,79,413
ST-1508,407,4,40,96,418,379,36
ST-1509,41,179,131,219,20,9,18
ST-1510,41,86,215,358,89,109,48
ST-1511,413,15,8,128,71,185,419
ST-1512,43,41,16,85,12,58,3
ST-1513,43,41,49,16,40,58,3
ST-1514,49,11,25,489,12,15,4
ST-1515,50,63,25,72,59,292,63
ST-1516,50,63,25,72,59,71,414
ST-1517,10,391,8,494,216,132,172
ST-1518,11,41,25,42,34,58,4
ST-1519,110,177,298,254,36,45,4
ST-1520,111,109,17,149,12,13,23
ST-1521,13,169,16,21,12,13,422
ST-1522,13,76,16,15,12,15,4
ST-1523,13,76,296,15,12,15,4
ST-1524,189,70,152,132,34,9,421
ST-1525,39,37,78,75,39,182,106
ST-1526,4,4,297,20,2,384,210
ST-1527,41,36,40,20,95,108,325
ST-1528,41,42,299,58,9,12,423
ST-1529,41,42,43,58,424,12,2
ST-1530,41,42,43,58,425,12,2
ST-1531,411,41,16,13,12,13,4
ST-1532,414,49,78,75,39,182,106
ST-1533,415,187,8,43,76,9,109
ST-1535,43,41,16,42,34,13,4
ST-1536,43,41,16,42,35,13,420
ST-1537,43,41,16,42,423,13,4
ST-1538,43,41,16,493,40,382,3
ST-1539,5,2,3,6,5,383,10
ST-1540,9,390,6,7,9,12,2
ST-1541,197,187,10,234,8,65,22
ST-1542,140,392,40,11,140,180,18
ST-1543,417,4,15,262,95,9,141
ST-1544,10,7,12,230,5,9,2
ST-1545,41,4,23,14,16,19,140
ST-1546,41,393,79,490,76,169,177
ST-1547,60,12,17,16,13,16,4
ST-1548,10,14,15,495,25,20,33
ST-1549,347,394,78,496,426,9,102
ST-1550,16,16,12,18,8,12,18
ST-1551,25,77,27,22,18,131,24
ST-1552,419,2,3,6,5,5,10
ST-1553,50,63,25,72,59,71,424
